Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
dijkstra,2676,4.924672,47.377049180327866,6.23678184083045,0.0447239875793457
a_star,834,4.924672,47.377049180327866,6.23678184083045,0.026017427444458008
dijkstra,2247,3.8594760000000004,40.0,5.789214000000001,0.03724336624145508
a_star,296,3.8594760000000004,40.0,5.789214000000001,0.020999670028686523
dijkstra,2351,4.779456999999999,44.54545454545455,6.437635959183671,0.03907465934753418
a_star,428,4.730058999999999,42.63157894736842,6.657120074074073,0.019782304763793945
dijkstra,3792,7.709918000000002,49.75903614457831,9.296704997578695,0.05412101745605469
a_star,1606,7.709918000000002,49.75903614457831,9.296704997578695,0.03408408164978027
dijkstra,2850,6.324568,40.0,9.486852,0.04471278190612793
a_star,1234,6.324568,40.0,9.486852,0.03012228012084961
dijkstra,3010,7.342785000000005,44.666666666666664,9.86344253731344,0.04792594909667969
a_star,997,7.255570000000005,41.875,10.396040597014933,0.02677154541015625
dijkstra,342,0.995763,40.0,1.4936444999999998,0.01730632781982422
a_star,107,0.995763,40.0,1.4936444999999998,0.017710447311401367
dijkstra,1790,3.400948,47.69230769230769,4.278612,0.034000396728515625
a_star,264,3.33752,43.65853658536585,4.586759329608939,0.018189191818237305
dijkstra,1244,3.7526309999999996,42.97872340425532,5.238821495049504,0.029062271118164062
a_star,695,3.7526309999999996,42.97872340425532,5.238821495049504,0.024480104446411133
dijkstra,4382,16.174998999999993,47.7037037037037,20.344331040372662,0.06213259696960449
a_star,3012,16.584868999999998,46.55172413793103,21.376053377777776,0.050887346267700195
dijkstra,2787,6.433554,48.75,7.918220307692308,0.0444035530090332
a_star,1145,6.433554,48.75,7.918220307692308,0.02853870391845703
dijkstra,2963,7.377406999999997,44.9,9.85845033407572,0.04541277885437012
a_star,1554,7.157514999999999,41.05263157894737,10.46098346153846,0.03478121757507324
dijkstra,920,4.642326000000002,62.03389830508475,4.490118590163936,0.02505183219909668
a_star,248,4.579206000000002,60.333333333333336,4.553906519337018,0.020436525344848633
dijkstra,2346,4.676116000000001,45.76923076923077,6.130034420168069,0.03945779800415039
a_star,371,4.612688000000001,42.77777777777778,6.46974420779221,0.0199582576751709
dijkstra,3257,8.200517000000001,49.111111111111114,10.018731176470588,0.048517704010009766
a_star,1367,8.185809,48.372093023255815,10.153551548076925,0.03103923797607422
dijkstra,2438,5.491581,50.44776119402985,6.53140698816568,0.03958559036254883
a_star,1024,5.491581,50.44776119402985,6.53140698816568,0.026531219482421875
dijkstra,4367,14.466811000000005,42.15384615384615,20.59144631386862,0.05931568145751953
a_star,2141,14.006963,40.0,21.010444500000002,0.03982377052307129
dijkstra,2861,4.704899999999999,40.0,7.05735,0.044411420822143555
a_star,268,4.704899999999999,40.0,7.05735,0.02010035514831543
dijkstra,668,2.588679,50.666666666666664,3.065540921052632,0.020520448684692383
